,title,lyrics,album
0,Happy Birthday,"Happy Birthday
To you

Happy Birthday
To you

Happy Birthday
Christina

Happy Birthday
To You",
0,Heartbreak Devil,"[Verse 1]
I've got a question, and I expect to hear the perfect answer
(Baby don’t you lie, don't you dare pretend) , don't you dare pretend) don’t you delay
Why do you say you love me when we all know that you love all those around you?
Well, I love me too and I'm not afraid to say
Everybody hates you; they just want to see you cry
They just want to see you cry (now your thoughts keep you up at night and you ask yourself why)
Oh the birds are the people who see you and judge you on a daily
They watch you in silence; they'll envy all your talents
Still you

[Hook]
(Cry and cry for nothing)
You got everything you could ever ask for, still you ask for more
(Time and time you prove to be the names that the blackbirds call you)
Don't show them that you're weak or you'll make them see

[Verse 2]
Baby I'm one of the birds I'm sympathetic, baby I’m a friend
(the flock doesn’t fly at night) so ill help you make it right
You're the total package yet you seek unnecessary attention
And you indulge yourself deep into your depression
You’re a heart break devil, preaching all the sweet lies
But deep inside I see a lost scared, lonely girl
But indecisiveness led you hear and I can't save you
Girl I can't save you, girl it can't be undone

(Don’t listen to me because I've been lying to you)
(You believe that I love you but you're simply a fool)
(I never was a friend so don't you cry so soon)
(And nobody's on your side, you'll be the only one to lose)

[Hook]

[Ending]
Don't show them that you're weak or you'll make them dine at the
Fountain of tears, tears from your eyes
They'll smile when you're down to your surprise (to your surprise)
So please, live up to your reputation
Don't sell your soul for who you weren't meant, to be
You'll make them see",
0,Heaven or Las Vegas,"[Verse 1]
I'm paying for all my father's sins
So I'mma thank him for you
I'mma thank him for you
My serotonin's gone a while ago
Girl, it's gone cause of you
It's been gone cause of you

[Hook]
They say, they want heaven
They say, they want God
I say, I got heaven
Well I say, I am God

[Verse 2]
I never prayed a moment in my life
Girl I'm rewarded with you
I've been rewarded with you
So baby let me kiss your inner thigh
Let me kiss it for you
I can kiss it for you

[Hook]
They say, they want heaven
They say, they want God
I say, I have heaven
I say, I am God",Thursday
0,High for This,"[Verse 1: The Weeknd]
You don't know what's in store
But you know what you're here for
Close your eyes, lay yourself beside me
Hold tight for this ride
We don't need no protection
Come alone, we don't need attention

[Chorus: The Weeknd]
Open your hand, take a glass
Don't be scared, I'm right here
Even though, you don't roll
Trust me girl, you wanna be high for this

[Verse 2: The Weeknd]
Take it off, you want it off
Cause I know what you're feeling
It's okay, girl, I feel it too
Let it be, baby breathe
I swear I'm right here
We'll be good, I promise, we'll be so good

[Chorus: The Weeknd]
Open your hand, take a glass
Don't be scared, I'm right here
Even though, you don't roll
Trust me girl, you wanna be high for this
Woah, woah, woah, woah
Woah, woah, woah, woah
Woah, woah, woah, woah
You wanna be high for this

[Outro]
For this
You wanna be high for this
Ooh, woah
You wanna be high for this, yeah
You wanna be high for this",House of Balloons
0,House of Balloons / Glass Table Girls,"[Part I: House of Balloons]

[Verse 1]
Been on another level since you came, no more pain
You look into my eyes, you can't recognize my face
You're in my world now, you can stay, you can stay
But you belong to me, ooh, you belong to me

[Chorus]
If it hurts to breathe, open a window (Woo-ooh)
Oh, your mind wants to leave (leave), but you can't go
Oh, This is a happy house (a happy house), we're happy here (we're happy here)
In a happy house, oh this is fun, fun, fun, fun
Fun, fun, fun, fun
Fun, fun, fun, fun

[Verse 2]
Music got you lost
Nights pass so much quicker than the days did
Same clothes, you ain't ready for your day shift
This place will burn you up
But baby it's okay, them my niggas next door
And they working in the trap, so get naughty if you want
So don't blame it on me that you didn't call your home
So don't blame it on me, girl, cause you wanted to have fun

[Chorus]
If it hurts (Woo) to breathe, open a window (Yeah, yeah, yeah)
Oh, your mind wants to leave but you can't go (Ooh)
This is a happy house, we're happy here
In a happy house, oh this is fun, fun, fun, fun (This is fun)
Fun, fun, fun, fun (This is fun to me)
Fun, fun, fun, fun (Fun)

[Part II: Glass Table Girls]

[Segue]
Bring the 707 out
Bring the 707 out
Bring the 707 out
Bring the 707 out
Bring the 707 out
Bring the 7

[Verse 3]
Two puffs for the lady who be down for that
Whatever, together
Bring your own stash of the greatest, trade it
Roll a dub, burn a dub, cough a dub, taste it
Then watch us chase it
With a handful of pills, no chasers
Jaw clenching on some super-sized papers
And she bad and her head bad
Escaping, her van is a Wonderland
And it's half-past six
Read skies cause time don't exist
But when the stars shine back to the crib
Superstar lines back at the crib
And we can test out the tables
We got some brand new tables
All glass and it's four feet wide
But it's a must to get us ten feet high
She give me sex in a handbag
I get her wetter than a wet nap
And no closed doors
So I listen to her moans echo
""I heard he do drugs now""
You heard wrong, I been on it for a minute
We just never act a fool
That's just how we fuckin' live it
And when we act a fool
It's probably cause we mixed it
Yeah I'm always on that okey dokey
Them white boys know the deal
Ain't no fuckin' phony
Big O know the deal
He the one who showed me
Watch me ride this fucking beat
Like he fuckin' told me
""Is that your girl, what's her fucking story?""
""She kinda bad but she ride it like a fucking pony""
I cut down on her man, be her fuckin' story
Yeah I'm talking 'bout you, man, get to know me
Ain't no offense, though, I promise you
If you a real man, dude, you gon' decide the truth
But I'm a nice dude with some nice dreams
And we could turn this to a nightmare: Elm Street

[Outro]
La, la, la, la, la, la, la, la
I'm so gone, so gone
Bring out the glass tables (Ooh, ooh)
Bring the 707 out
La, la, la, la, la, la, la, la
I'm so gone, so gone
Bring out the glass tables (Ooh, ooh)
Bring the 707 out
La, la, la, la, la, la, la, la
I'm so gone, so gone
Bring out the glass tables (La, la, la, la, la, la, la, la) (Ooh, ooh)
Bring the 707 out
La, la, la, la, la, la, la, la
I'm so gone, so gone
Bring out the glass tables
Bring the 707 out (La, la, la, la, la, la, la, la)
Bring the 707 out (La, la, la, la, la, la, la, la)
Bring the 707 out (La, la, la, la, la, la, la, la)
Ooh, la, la, la, la, la, la, la, la
La, la, la, la, la, la, la, la",House of Balloons
0,How Will I Know,"[Verse 1]
Feeling somebody
Cold when you're numb
I'm with somebody
How will I know
How will I know, yeah
How will I know
How will I know if I don't know
Standing tall
Oh yeah
How will I know, how will I know
How will I let you love
How will I make you love
How will I know, yeah

[Verse 2]
Tell me we're faded, you know faded to toe
I'm making a toast
Rollin' and spinnin' a jay, rollin' and pour one
I'm makin' a toast
Standin' my body and tote
I'm making you boat, I'm making you know
Holding your body to say how will I know
How will I know, yeah
How will I know
No, well I don't, well I don't, well I don't, will I know
How will I know, how will I know
How will I know 'bout your time all alone
How will I know, how will I know
How will I know",
0,Hurt You,"[Verse 1]
And now I know relationship's my enemy
So stay away from me
I'm warning you
You try to fill the void with every man you meet
'Cause you're upset with me
I'm warning you

[Pre-Chorus]
'Cause all the nights you slept alone dryin' your eyes
And all the nights you thought about takin' your life
'Cause if it's love you want again, don't waste your time
But if you call me up, I'm fuckin' you on sight

[Chorus]
I don't wanna hurt you (ooh)
I don't wanna hurt you
I don't wanna hurt you (ooh)
I don't wanna hurt you

[Verse 2]
When you're with him, you close your eyes and think of me
Just call me up again
I'll make you weak
Girl, I'll come to put myself between your legs
Not between your heart
Can't you see?

[Pre-Chorus]
That all the nights you slept alone, dryin' your eyes ('cause of me, baby)
And all the nights you thought about takin' your life ('cause of me, baby)
If it's love you want again, don't waste your time (don't you waste)
But if you call me up, I'm fuckin' you on sight

[Chorus]
I don't wanna hurt you (ooh)
I don't wanna hurt you
I don't wanna hurt you (ooh)
I don't wanna hurt you
I don't wanna hurt you (ooh)
I don't wanna hurt you
I don't wanna hurt you (ooh)
I don't wanna hurt you

[Harmonizing]

[Outro]
I don't want
I don't want
I don't want
I don't want
I don't wanna, baby
I don't wanna, baby
I don't, ooh","My Dear Melancholy,"
0,I Feel It Coming,"[Intro: The Weeknd]
Yeah, uh

[Verse 1: The Weeknd]
Tell me what you really like
Baby, I can take my time
We don't ever have to fight
Just take it step-by-step
I can see it in your eyes
'Cause they never tell me lies
I can feel that body shake
And the heat between your legs

[Pre-Chorus: The Weeknd]
You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

[Chorus: The Weeknd]
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

[Verse 2: The Weeknd]
You are not the single type
So baby, this the perfect time
I'm just tryna get you high (I'm just tryna, babe)
And faded off this touch
You don't need a lonely night
So baby, I can make it right
You just got to let me try
To give you what you want

[Pre-Chorus: The Weeknd]
You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

[Chorus: The Weeknd & Daft Punk]
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

[Pre-Chorus: The Weeknd]
Hey! You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it can set you free
We don't have to rush when you're alone with me

[Chorus: The Weeknd + Daft Punk]
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you feel right now
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you say right now, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I know what you say right now, babe
Na na, na, na, na, na, na na na
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe
I feel it coming, I feel it coming, babe

[Outro: Daft Punk]
I feel it coming, babe
I feel it coming, babe
I feel it coming, babe
I feel it coming, babe",Starboy
0,In Heaven Everything Is Fine*,[?],
0,Initiation,"[Verse 1]
Oh, yeah, got you drinking out them white cups, sodas
All this shit so foreign to you, thick smoke, choking
Baby, get familiar with the order
Just crack it, then pour it, then sip slow, then tip low
My eyes red but my brim low, that XO
She climbing, straight to the top, forgetting why she there in the first place
No more crying, heart rate slow, put that rum down you don't wanna die tonight
I promise, when you’re finished, we’ll head to where I’m living
The party won’t finish, it’s a fucking celebration, oh yeah
For my niggas out tonight
And they high off Shakespeare lines
There's enough to pass around, you don't gotta wait in line
And the clocks don't work, you don't gotta check the time
And the blinds don't work, you don't gotta check the sky
We'll be going all night, 'til light

[Hook]
I got a test for you
You say you want my heart
Well, baby, you can have it all
There's just something that I need from you
Is to meet my boys

[Verse 2]
And you've been going hard, baby
Now you rolling with some big boys, baby
Got a lot you wanna show off, baby
Close that door before you take your fucking clothes off, baby
Don't mind, all my writings on the wall
I thought I passed my peak, and I'm experiencing fall
And all I wanna do is leave cause I've been zoning for a week
And I ain't left this little room, tryna concentrate to breathe
Cause this piff so potent, killing serotonin
In that two floor loft in the middle we be choking
On that all black voodoo, heavy gum chewing
Go on if you thirsty, baby, if you dancing
Grab a cup of that XO, baby, I been leaning
Back from the come down, girl, I've been fiending
For another round, don't you blame it on me
When you're grinding up your teeth and it's fucking hard to sleep

[Hook]
I got a test for you
You said you want my heart
Well, baby, you can have it all
There's just something that I need from you
Is to meet my boys
I got a lot of boys
And we can make you right
And if you get too high

[Verse 3]
Baby, come over here and
Ride it out, ride it out
Work that butt 'til I tire out
Roll that weed, bring that fire out
Taste that lean when you kiss my mouth
Bed so wet when I eat you out
Girl's friends scream that I'm creeping out
If they're not down, better keep em out
Ex-man hollering, keep him out
Hard to let go, I could teach you how
Take a puff of this motherfucking reefer now
Bet a shot of this cognac, ease you out
Just one night, trying to fucking leave you out
Baby, baby

[Hook]
I got a test for you
You said you want my heart
Well, baby, you can have it all
There's just something I need from you
Is to meet my boys
I got a lot of boys
And we can make you right
And if you get too high
Baby come over here and ride it out
Ooh, yeah, ooh, yeah, ooh, yeah
Come over here and ride it out
Ooh, yeah, ooh, yeah, ooh, yeah

[Outro]
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO
That north north, that up top, that OVO and that XO",Echoes of Silence
0,In My Life,"          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        ",
0,Insomnia,"[Verse 1: The Weeknd]
I want to take my time (oh, oh, oh)
I would say forget my (wow, wow, wow)
I know you said, ""Do you"" (talkin' bout)
I know you said, ""Do you"" (talkin' bout)

[Hook: The Weeknd]
I don't sleep no more, no more, no more, no more (baby)
I don't sleep no more, no more, no more, no more (baby)
I don't sleep no more
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't

[Verse 2: The Weeknd]
I make myself love you (woah, woah, woah)
I never say, ""Told you"" (no, no, no talkin' bout)
I know you say, ""Love just"" (love, love, love, talkin' bout)
I make myself love too, (love, love, love, yeah, talkin' bout)

[Hook: The Weeknd]
I don't sleep no more, no more, no more, no more
I don't sleep no more, no more, no more, no more
I don't sleep no more
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't

[Verse 3: The Weeknd]
Uh, don't watch it go
Just leave it alone
Don't ever keep no
Came out the Chi (woo)
I'm in your stereo
For show, zero
I say too low
I make you feel
I make you wanna go
[?]

[Hook: The Weeknd]
I don't sleep no more, no more, no more, no more
I don't sleep no more, no more, no more, no more
I don't sleep no more
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't
I don't sleep no more, no more, no more, no more
I don't sleep no more, no more, no more, no more
I don't sleep no more
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't (so do you)
I don't, I don't, I don't, I don't, I don't",
0,Insomnia 2,"[Verse 1]
I want to save time, tonight
I've been 'round smoking loud to get down
I've been 'round smoking loud to get down
I have words to say, fuck my life
I've been 'round smoking loud to get down
I've been 'round smoking loud to get down
I know to say, do you know
I've been 'round smoking loud to get down
I've been 'round smoking loud to get down
I won't say to her [?]
I've been 'round smoking loud to get down
I've been 'round smoking loud to get down

[Hook]
I don't sleep no more (no more), no more (no more)
I don't sleep no more (no more), no more (no more)
I don't sleep no
I don't, I don't, I don't, I don't, I don't
(Did do you?) I don't, I don't, I don't, I don't, I don't
(Said do you?) I don't, I don't, I don't, I don't, I don't
(Said do you?) I don't, I don't, I don't, I don't, I don't

[Verse 2]
I made you so fuck you, no, no, no, no
I've been 'round smoking loud to get down
I've been 'round smoking loud to get down
I know we torch you, no, no, no, no
I've been 'round smoking loud to get down
I've been 'round smoking loud to get down
I know this ain't love, no, no, no, no
I've been 'round smoking loud to get down
I've been 'round smoking loud to get down
I made so much, tonight
I've been 'round smoking loud to get down
I've been 'round smoking loud to get down

[Chorus]
I don't sleep no more (no more), no more (no more)
I don't sleep no more (no more), no more (no more)
I don't sleep no
I don't, I don't, I don't, I don't, I don't
(Did do you?) I don't, I don't, I don't, I don't, I don't
(Said do you?) I don't, I don't, I don't, I don't, I don't
(Said do you?) I don't, I don't, I don't, I don't, I don't

[Verse 3]
Don't want sleep now
I still need loved her
They want me to talk
A young woman just run past
Stix my nigga say
""Don't want you to cheat no?""
I have one minute more she won't shy away
I'm running sober like she [?]
I'll make you say it while she's scared from a burnt throat
I'll make you stand while she get it from ya man low
I'll make you feel it like she get it started by long
One shot, she roll, we know she feeling number
I'm 'fraid too long I'll make your pants flowin'
Pull out that E-systoma, I'll make your panties low
I'll make your state of mind, I'll make you wanna go
I put a skin on when I flip out, when I H'd over
They don't get low when I get low and flinched over [?]
But I roll out in this H-throw
And I hope that you ain't that I knowing her
I really gotta take this beat now

[Chorus]
I don't sleep no more (no more), no more (no more)
I don't sleep no more (no more), no more (no more)
I don't sleep no
I don't, I don't, I don't, I don't, I don't
(Did you?) I don't, I don't, I don't, I don't, I don't
(Said do you?) I don't, I don't, I don't, I don't, I don't
(Said do you?) I don't, I don't, I don't, I don't, I don't
I don't sleep no more (no more), no more (no more)
I don't sleep no more (no more), no more (no more)
I don't sleep no
I don't, I don't, I don't, I don't, I don't
(Did do you?) I don't, I don't, I don't, I don't, I don't
(Said do you?) I don't, I don't, I don't, I don't, I don't
(Said do you?) I don't, I don't, I don't, I don't, I don't",
0,In The Night,"[Verse 1]
All alone, she was livin'
In a world without an end or beginnin'
Baby girl was livin' life for the feelin'
But I don't mind, I don't mind, oh
And all the wrongs she committed
She was numb and she was so co-dependent
She was young and all she had was the city
But I don't mind, I don't mind

[Pre-Chorus]
And I know
That she's capable of anything, it's riveting
But when
You wake up she's always gone, gone, gone, oh

[Chorus]
In the night she hears him calling
In the night she's dancin' to relieve the pain
She'll never walk away
I don't think you understand
In the night when she comes crawlin'
Dollar bills and tears keep fallin' down her face
She'll never walk away
I don't think you understand

[Verse 2]
He sang a song when he did it
He was cold and he was so unforgiving
Now she dances to the song on the minute
Yeah, all the time, all the time, oh
It make her weak when she hear it
And it got her on her knees like religion
She was young and she was forced to be a woman
Yeah, all the time, all the time

[Pre-Chorus]
And I know
That she's capable of anything, it's riveting
But when
You wake up she's always gone, gone, gone, oh

[Chorus]
In the night she hears him calling
In the night she's dancin' to relieve the pain
She'll never walk away
I don't think you understand
In the night when she comes crawlin'
Dollar bills and tears keep fallin' down her face
She'll never walk away
I don't think you understand

[Bridge]
Oh baby
I don't think you understand
I don't think you understand
I don't think you understand
Oh no, no
I don't think you understand

[Chorus]
In the night she hears him calling
In the night she's dancin' to relieve the pain
She'll never walk away
I don't think you understand
In the night when she comes crawlin'
Dollar bills and tears keep fallin' down her face
She'll never walk away
I don't think you understand",Beauty Behind the Madness
0,In Vein (remix),"[Intro: The Weeknd]
I don't got a single sober vein in my body
I don't got a single sober vein in my body

[Verse 1: The Weeknd]
Don't apologize, I quite enjoy messy
I see that bottle after bottle got you goin' crazy
And doin' shows after shows got me so lazy
So ride it out for me, and take it off for me
It's a good vibe, good vibe, good vibe
Don't you ever threaten niggas with a good time
She wanna buy a dream, I said I don't sell it
But she can rent it for a night, I don't mind, open wide
Cause all this fame, I earned it, I might as well use it
Private elevator goin' straight to my unit
All my niggas 'round me, gettin' kickback pussy
All my killas 'round me, all be hiding in Stussy
Can't nobody stop me, used to be homeless
Now that penthouse at the Ritz where my home is
Tour bus like a National Geographic
Bitches runnin' wild gettin' faded in the bathroom

[Hook: The Weeknd]
It makes me smile, it makes me smile
Cause I got it
It makes me smile, it makes me smile
Cause I got it
All the pain, sweat and tears, just to get a piece
But now we got it
Man look at the kid now, can nobody stop me?
I don't got a single sober vein in my body

[Intro: Wiz Khalifa]
*Wiz laugh*
I got a lotta cash
I don't mind spending it

[Verse 2: The Weeknd]
Do you like the way I flick my tongue or nah?
You can ride my face until you're drippin' cum
Can you lick the tip then throat the dick or nah?
Can you let me stretch that pussy out or nah?
I'm not the type to call you back tomorrow
But the way you wrapping 'round me is a prob
Ain't nobody tryna save ya
Baby, get that paper
Probably got a lot of other bitches owe you favors
Pussy so good, had to save that shit for later
Took her to the kitchen, fucked her right there on the table
She repping XO to the death
I'm tryna make these bitches sweat
I'm tryna keep that pussy wet
I'm tryna fuck her and her friends

[Bridge: Ty Dolla $ign]
You gonna run it for these hunnids, girl, or nah?
Show me, is you really 'bout your money, girl, or nah?
Don't play with a boss, girl, take it all
Take it for a real one, you gon' get it all

[Hook: Ty Dolla $ign]
Is you really 'bout your money or nah?
Can you really take dick or nah?
Can I bring another bitch or nah?
Is you with the shits or nah?
Oh nah, oh nah
Would you ride for a nigga or nah?
Would you die for a nigga or nah?
Would you lie to a nigga or nah?
Oh nah
Can you really take dick or nah?
Can I bring another bitch or nah?
Is you with the shits or nah?
Oh nah, oh nah
Would you ride for a nigga or nah?
Would you die for a nigga or nah?
Would you lie to a nigga or nah?
Oh nah",
0,It’s Ending,"[Verse 1]
Type that you get ahold of, you get all, my babe
Tell her why she can fill up my cup, whole body
After she get a whole bottle, that 100ml babe
What'd she take? Slip in what she take
I've been gettin' too pained, I should go paint, oh babe
I'm thinking it so much, get nobody
After this, you can't save her, she want nobody
Flying now, babe
Go now, take

[Pre-Chorus]
What are you? Oh tell me, I do
Only you, oh tell me I do
How are you gon' tell me I do?
How are you gon' tell me

[Chorus]
She making money 'til tonight
She's been opened up
Getting open now
Getting open now
She up for clubbing for tomorrow
When it's open now
When it's open now
When it's open now
She really bout it 'til the mornin'

[Verse 2]
I'ma tell you, ""Get low,"" once I get your body
Spend [?]  you can't tell nobody
Grab enough get drunk tell enough to me
Don't lust for me, tell her [?]
I'ma let you get torn up, you get torn up on me
I'ma let you get [?] on me
I'ma let you get [?]
Tell you how's your day
Tell me how's your day

[Pre-Chorus]
What are you? Oh tell me, I do
Only you, oh tell me I do
How are you gon' tell me I do?
How are you gon' tell me

[Chorus]
She making money 'til tonight
She's been opened up
Getting open now
Getting open now
She up for clubbing for tomorrow
When it's open now
When it's open now
When it's open now
She really bout it 'til the mornin'",
0,I Wanna Feel You,"[Refrain]
They starting rumors all about anything
They wanna ruin us and get crazy
They talking reckless then the ones I know
I see them hatin' and now I get taller
My baby, I just wanna get love found
I look at you and now I get taller
I see that you gon' work your tempo
I may go out tomorrow, may stay low

[Chorus]
They wanna, they wanna, they wanna
They wanna, they wanna, they wanna
Make love to, make love to, make love to, one love
They wanna, they wanna, they wanna
All that love, all that talk, give me love
Say what you will say, say what you will say
All you will say, oh love

[Bridge]
I need you, I need somebody
If it's true, I need somebody

[Refrain]
They starting rumors all about anything
They wanna ruin us and get crazy
They talking reckless then the ones I know
I see them hatin' and now I get taller
My baby, I just wanna get love found
I look at you and now I get taller
I see that you gon' work your tempo
I may go out tomorrow, may stay low

[Chorus]
They wanna, they wanna, they wanna
They wanna, they wanna, they wanna
Make love to, make love to, make love to, one love
They wanna, they wanna, they wanna
All that love, all that talk, give me love
Say you what will say, say what you will say
All you will say, oh love

[Bridge]
I need you, I need somebody
If it's true, I need somebody
I need you, I need somebody
If it's true, I need somebody",
0,I Was Never There,"[Verse]
What makes a grown man wanna cry?
(Cry, cry, cry, cry)
What makes him wanna take his life?
(Yeah)
His happiness is never real
(Real, real, real, real)
And mindless sex is how he feels, ooh, he heals

[Chorus]
When it's time, when it's time, when it's time
It won't matter (it don't matter)
It won't matter (matter)
When it's time, when it's time, when it's time (time, it's time, babe)
It won't matter (it won't matter, babe)
It won't matter (ya)
It was like he was never there
(It was like he was never there)
It was like he was gone in thin air, oh
When it's time, when it's time, when it's time, oh, baby
It won't matter (It won't matter, baby)
It won't matter

[Post-Chorus]
When it's time, when it's time, when it's time
It won't matter
It won't matter
When it's time, when it's time, when it's time
It won't matter
It won't matter
It was like he was never there
It was like he was gone in thin air
When it's time, when it's time, when it's time
It won't matter, it won't matter

[Interlude]
When it's time, when it's time, when it's time
It won't matter, it won't matter
When it's time, when it's time, when it's time
It won't matter, it won't matter

[Bridge]
Ooh, now I know what love is
And I know it ain't you for sure
You'd rather something toxic
So, I poison myself again, again
'Til I feel nothing
In my soul (in my soul)
I'm on the edge of something breaking
I feel my mind is slowly fadin'
If I keep going, I won't make it
If I keep going, I won't make it

[Outro]
And it's all because of you
It's all because of you
It's all because of you
It's all because of you
Woah, woah
Don't you, baby, hey
It won't matter, baby
Don't you know?
Don't you know?
Ooh, no","My Dear Melancholy,"
0,Keep it on that XO (Interlude),"[Verse 1]
You want me, but he needs you
Yet you're tellin' me that everything's cool
Tryin' to convince me, to do as you say
Just go along and see things your way

[Verse 2]
And keep it on that XO (Oh baby)
Nobody has to know, has to know
Not your momma, not your sister, not your daddy
Just keep it on that XO (Yeah-ah-ah)
Nobody has to know, has to know, has to know, oh",
0,King of the Fall,"[Verse 1]
I'm addied up, add it up
I just ate a plate for breakfast
Put it in a cup, then I mix it up with Texas
Chest feeling heavy like a midget on my necklace
Bitches that we came with got all of your bitches jealous
'Bout to leave the crib with a couple of my pirates
Driving by the streets we used to walk through like a triumph
Mix it in a potion like a science
That liquid G diet got a nigga so quiet
Cause the shit so strong, got me feeling like I'm dying
The shit so raw, nothing else can get me higher
Only time you see me's when I'm balling with my niggas
’Cause my life too private, my ride too private
My flight too private, my shows so riot
My jaw so tired, I go all night in my city 'til the Fall
Then it's time for me to fly out
I got a girl at home even though she ain't mine yet

[Chorus]
And she gon' give it up cause she know I might like it
She gon' give it up cause she know I might like it
She gon' give it up cause she know I might like it
She gon' give it up cause she know I might like it
Baby girl, you know what I like
Baby, you know just what I like
Baby, you know what I like

[Verse 2]
Don't be mad, let her get hers
Don't be mad, let her get hers
She make her own luck, she don't give a fuck
She trying to have fun, take a break from the love
Man, your girl so bad, let me get her
Your girl so bad, let me get her
I make my own luck, I make that pussy talk
On call to the fall, he can like it or not
Nigga, back the fuck up
If you ain’t with me, motherfucker, you against me
If you ain’t complimenting, nigga, you offending
I been out here last year wasting hella time
XO is the only time invested
Them Fall shows every year like a birthday
And I'ma do it every year in my birthplace
And I ain’t been this gone since Thursday
I never said that I’d be sober in the first place

[Chorus]
And she gon' give it up cause she know I might like it
She gon' give it up cause she know I might like it
She gon' give it up cause she know I might like it
She gon' give it up cause she know I might like it
Baby girl, you know what I like
Baby, you know just what I like
Baby, you know what I like

[Break]
Baby girl, you know what I like
Baby, you know just what I like

[Verse 3]
I just passed that ""nigga fell off"" stage
Just sold out the O2 at my own pace
I can say that I’m attached to nobody
I've been getting paper while these niggas tryna stop me
Shout my nigga Doc, that’s a mentor
Had some bad business, nothing personal
But now the word out that we back
On some young Quincy Jones, dark skin Michael Jackson
And these the motherfuckers that they packaged
Their new shit all be sounding like my past shit
Bring your girl to my show, give her floor seats
Then she go downtown like she owe me
XO, XO, XO
Mix it up, pour it up, take it down slow
This is my sound, nigga, fuck your sound
Did it from the ground, ask around, bitch
When I touch down, I'ma shake shit up
Fuck your new man, I'ma break it up
He can come back when I go on the road
But that pussy mine for the next three months
’Cause the kid back, kid back, kid back
Cop ten whips for my niggas when we land
Queen Street nigga making money overseas
Had a few more debts, I'ma pay it all in cash
Shout out XO, shout out to the boy who
Broke bread on tour, man, it’s all over now
Shout my nigga Stixx, doing good in these streets
Bet he popping more bottles than us right now
Reason why they stressing, city never sunny
When the kid come through with more niggas than Apollo
But ain’t shit funny, can’t nobody stop me
All my hoes are trained, I make all of them swallow

[Outro]
All of them swallow
All of them swallow
All of them swallow
I make all of them swallow
All of them swallow
All of them swallow
All of them swallow
I make all of them swallow
All of them swallow
All of them swallow
All of them swallow
I make all of them swallow
All of, all of
All of them swallow
All of them swallow
I make all of them swallow",
